,Post,score,Image num,Video num,comment num,sympathy num,weekly view,AD,keyword score,tfidf score,josa,noun,noun/josa,paragraph num,gif num,sticker num
0,참새가 방앗간을 그냥 못 지나치죠다이소에 가면 새로 나온 아이들은 꼭 한 번씩 만지작거리게 되는 존이 있어요이번엔 해보진 못했던 양모 펠트 공예 키트가 뙇 자리 잡고 있더라구요   다이소  양모펠트  만들기키드  닥스훈트닥스훈트 가 이렇게 생겼나요종류가 몇 가지 있었는데요 전 우리 똥자똥꼬 생각에 요 아이를 얼른 데려왔어요양모 펠트는 해 본 적이 없는데 키트니까 해보고 안되면 말고란 식으로만드는 방법이 있으니까 따라 하면 되겠지 하고 샀는데설명서가 한글이 아니네요 그럼 뭐 그냥 감으로 만드는 거죠아니면 말고   샘플에 완성 아이는 동글동글 피카츄처럼 생겼네요제가 만든 아이는결론부터 얘기하면우리 똥자랑 닮았어요    무한 바늘 찌르기하면서 내 손도 찌르기 한참을 찔렀는데 요 동그란 모양 하나 만드는 것도 시간이 많이 걸리네요시간 반정도면 완성한다는데 방법을 잘 몰라서 일까요머리모양으로 동그랗게 하나 만드는데 시간 넘게 찔렀던 거 같아요여기까지 하고 포기할까 살짝 고민했네요    뼈다귀를 물고 있는 머리까지 완성입니다나름 폴짝 뛰는 귀를 만들기 위해 쫑긋쫑긋하게 만들었는데귀가 좀 큰가요 친구는 캥거루 같다고 색깔도 그렇고우리 똥자가 귀가 커  크기가 작아서 더 쉽게 만들 거라 생각했는데처음 하는 입문자에겐 쉬운 게 아니네요제일 어려운 건 양 조절인 것 같아요너무 조그맣다 보니 아주 조금씩 같은 양으로 분배를 한 것 같은데한참 찌르다 보면 크기가 달라요 같은 모양 여러 개 만드는 것두요몸통에 다리 개다리에 발바닥은 정말 점찍듯이 해야되는데 크기가 들쑥날쑥이에요   제가 손에 땀이 많아서 손에도 달라붙고코도 간질하고 생각보다 더 힘들었어요만들기는 재미가 있었으나 요때까진 아 두번은 못하겠구나 저랑 안맞는 종목 인걸로뭐 사실 손에 땀나면 제약적인게 너무 많아서또 이래놓고  우째우째 극복하면서 꿋꿋히 할 때 있으니했지만 함부러 말하진 않을게요   샘플 사진과는 좀 다른 귀요미지만완성됐습니다역시 우리 똥자반려견 의 모습에 더 가깝네요귀를 팔랑거리며 뛰는 모습이 딱입니다펠트 특징상 털도 구불해 보이는 게 닥스훈트가 아니라갈색 푸들인 걸로땅땅땅  폴짝 뛰는 건 어느 정도 표현이 됐는데밑에서 보면 뼈다귀는 무는 게 아니라 달려있는 것 같아요 그럼 밑에선 보지 않는 걸로     귀 팔랑은 맘에 들어요산책 가서 뛰어오는 똥자 멍뭉이 표정 같거든요   달리는 측면사진 찍는 방향을 억지로 잘 맞추면 그렇게 보여요보입답니다   뜁니다   귀 팔랑이며그렇죠   처음 시도해보는 양모 펠트공예이 정도면 만족합니다모양 내면서 계속 잘 찔러주면 되는데찌르는 요령은 따로 있을 것 같습니다 작은 크기 작업이 힘드신 분은 난이도가 상입니다제 개인적인 생각이에요 꼼지락  양모펠트  무한찌르기  바늘은아파요  강아지인형  나는푸들이요  혼자뿌듯  달려라멍뭉이       여곰 여곰 꼼지락 핸드공방  도안과 사진은 무단으로 데리고 다니시면 안 돼요 따뜻한 공감과 덧글 함께해 주시면 큰 힘이 될 거예요                   ,2.9998587954378957,24,0,1,3,159.8,1,0.32573289902280134,-1.5775000000000026,0.12680115273775217,0.26945244956772335,2.12,334,0,0
1, 작년 크리스마스 이브에 갑자기 무지개다리 를 건너버린 호두그때는 뭐  제정신이 아니였어서  현생이 엉망진창키우던 반려동물이 떠나는 경우는 지금껏 살면서도 몇번의 경험이 있지만어른이 되고 내가 직접 데려온 첫 반려동물 이었어서호두가 죽고 그나마 빨리 현생으로 복귀 한 듯 보였을 수도 있는데 사실은 너무 그립고 슬프고  그러던 중 우연히 알게된 양모펠트 업체가 있어서 알아보다가 액자형태로 된 양모펠트 인형을 제작 해주는 곳이 있어서 의뢰를 했었어요 양모펠트 특성상 장기간의 제작시간이 소요되기에 그냥 잊고 있으면 오겠거니  급하게 필요한 것도 아니고  그냥 호두랑 닮음 된다하는 마음으로 작년 말에 의뢰를 하고 월부터 작업들어가는 걸로 알고 있었구요작가님 개인적인 사정으로 생각보다 작업이 많이 늦어지긴 했어요  하루전날 니들펫 작가님이랑  을 주고받고  드디어 오는구나 그때까지만 해도 별 느낌 없었는데 상자를 열면서부터 심장이 터질것 같더라는 진짜 호두 죽은지 벌써 개월이 지났는데  정말 괜찮을 줄 알았거든요근데 그럴리가 없음 그런게 내맘대로 될리가 없음  액자종류는 정사각 화이트 우드톤 세가지 였고 이것도 작업 막바지 쯤에 작가님과 의견 주고받으면서 제 맘에 드는걸로 선택했어요 호두 털색깔이 노란빛이라 우드계열 액자가 잘 어울리더라구요실물이 더 예쁘다  솔직한 심정으론양모펠트 인형 처음봤을땐 무서웠거든요 그때는 호두가 살아있었고  한번도 얘네를 인형으로 만들어야겠다 생각해본적이 없어서 근데 나중에 무지개 다리 건너니까 그런게 어딨음인형이라도 갖고싶은 마음뿐 작업사진 받으면서 수정 볼 부분 회정도 가능했고 저는 호두 코 윗부분 흰 부분과 입부분 하얀 부분을 더 많이 넣었음 좋겠다고 말씀드리고 수정 받았는데 실제로 보니 호두랑 정말 많이 닮아서 놀랬어요특히나 입술 아랫부분 점과  젤리부분 발바닥 점까지디테일 살려서 작업 잘 해주셨다는 오른쪽 발바닥 디테일 사진은 없어서 못드렸더니 그냥 없는 걸로 작업해서 보내주셨어요 살아있을때 구석구석 많이 찍어둘걸 맨 얼굴만 찍었더니 디테일 컷이 없네나이먹고 나서  호두가 앞니가 없어서 혀가 살짝 나와있던 터라 그렇게 해달라 할까 하다가 그냥 말씀 안드렸는데 어쨌든 전 마음에 드네요   택배박스 뜯을때부터 심장이 뛴다 싶더니 나중엔 실화냐며 나는 동성서맥 눈물 콧물 아주 심장까지 나대는 재회현장 그동안 모아뒀던 수염통 오픈 해서 가짜수염과 진짜수염 바꿔치면서 꽂아주기아주 질질 짜면서 할 건 다 하고 있 호두는 얌생이처럼 수염 양쪽 제일 작은 수염만 까만 가닥이 있어서 거기 꽂아주고 나머진 흰수염으로 섞어서 잘 꽂아줬어요 이건 꽂기전 자리 보려구 세워둿던 거작은방 호두 유골함 뒤에 세워뒀더니 차 오열아니 왜 지금껏 눈물이 안멈추나 몰라  그냥 내맘 편하자고  보고 싶어서 의뢰한 양모펠트 인형인데 생각보다 많이 닮아서 더 그립고 기분이 묘하네요 어쨌든 다시만난 호두는 반갑고 그립고 보고싶네요 잘왔어     ,1.6424927088846064,10,0,11,32,2327.8,0,-4.154302670623145,-10.3766,0.12998522895125553,0.29394387001477107,2.26,347,0,0
2, 드디어 올리는 양모펠트 반려견 액자 만들기 때는 바야흐로 년 월 일이다 년 상반기가 끝나갈 때쯤에서야 드디어매번 협찬 받는 제품들 위주로 포스팅을 하다보니 내돈내산 경험이나 제품들은 한참 후에야 조금 여유가 생겼을때 올리게 되는 듯   그 전날 근처 한옥펜션에서 숙박하고 이전부터 하고 싶었던 양모펠트 반려견 액자를 만들기 위해 인사동 커들쏘머치로 향했다  가는동안 설레는 발걸음평일이었던지라 손님은 우리뿐이라 더 좋았던   샘이 만든 다양한 양모펠트 인형 진짜 금손  나도 저런 실력이 있음 좋겠다했던나중에 나도 꼬맹이 우유 키링 만들고 싶은   다양한 양모펠트 작품 감상 후 우리는 우리 수준에 맞게양모펠트 액자를 만들기로 했다   먼저 예시작품들을 보고 인사동 커들쏘머치 양모펠트 체험수업가격은  이다 벌써 많은 시간이 흐른터라 지금도 같은 가격일지는 잘 모르겠다  양모펠트 반려견 액자 만들기 먼저 반려견 사진 픽하기 내가 고른 우리 댕댕이들 사진 지금보니 애들이 엄청 털찐 상태였군그래도 귀여운 너무 사랑스러운  사진을 고르고 나면 샘이 밑그림을 그려주신다 양모펠트 반려견 액자 먼저 가장 어두운 색부터 스타트 아이들 눈만들기 양모펠트는 정말 정성이 듬뿍 들어가야 한다바늘로 수십번 찔러 모양잡기  너무 힘을 많이주거나 비스듬히놓고 찌르면 바늘이 부러질 수 있으니 주의하시길  바늘이 부러지면 추가요금이 붙는다   인사동 커들쏘머치아이들 눈 앤 코 완성  이거 조금 했을뿐인데 진빠졌던  우리 꼬맹이는 말티즈고 우리 우유는 토이푸들이다두마리다 흰색인데 아이들 모종이 다르니까 그걸로 차이를  우유는 몽글몽글한 느낌으로꼬맹이는 스트레이트로   볼터치도 해주고 하트도 넣어준 온 정성을 들여 만든 인생 첫 양모펠트 반려견 액자 힘들었지만 만들고 나니 너무 뿌듯했던 약자는 블랙화이트 중 선택하면 된다  나는 화이트로 픽오빠는 고양이 양수니를 키우고 있어서 양수니 만들기   둘다 반려동물을 키우고 있어서 이런 체험을 함께 즐길 수 있음에 행복한  귀여운 양수니 그리고 꼬맹앤우유오전내내 정말 세상 열심히 만든 것 같다 오빠도 진이 다 빠졌다며  인사동 커들쏘머치 양모펠트 반려견 액자 만들기뿌듯했던  그리고 재밌었던  나중엔 반련견 액자말고 반려견 양모펠트 입체 인형 만들어봐야징 집에 가져가니 가족모두 빵터진누가봐도 구별간다며   우리집 장식장 위 가장 잘보이는 곳에고이 올려두었다  때    게스  앤 게스  앤 게스  앤 ,6.144077392380221,24,0,3,11,1202.4,1,-0.7575757575757576,3.1830999999999876,0.1256637168141593,0.3858407079646018,3.07,264,0,1
3, 반려동물양모펠트지도사자격증을 수강중인 수강생분께서 액자 원데이클래스를 신청해주셨어요  이미 알고 계신 기법들 외 추가기법들도 설명해드리면서 좀 더 완성도있게 작업했어요  회의 과정동안 갈고 닦은 실력이 있으셔서  너무 예쁜 리얼한 포메라니안을 완성하셨네요 키우고 계신 반려견이라 실제색과 동일하게 만드려고 노력했어요 강아지 이름이 우승이였어요 우승이는  얼굴에 다양한 색이 골고루 들어가 있는 아이였어요 리얼한 색감 표현이 될때마다 역시 배워야되요라고 좋아하셨어요    너무나 사랑스러운 포메라니안   이번에 협회에 새롭게 입고된 수염이예요 좀 더 리얼하게 표현하고자 사용해보았어요검정색 흰색을 이용해서 몇가닥 심어주었어요좀 더 사실적으로 만드려면 많이 심어야했지만 이정도로 마무리    코와 혀도 직접 만들어서 채색하여 사용했어요   저는 현재 수업이 월까지 마감되어서 수업위주로 공방을 운영하고 있어요액자와 인형 제작은 수강생분들을 소개해드리고 있어요   반려동물양모펠트지도사자격증 수업 문의는 댓글로 해주세요     ,3.2905536773278397,9,0,0,0,198.4,1,18.11023622047244,-9.821000000000016,0.136,0.348,2.56,107,0,0
4, 년 새로운 도전 양모펠트 자격증작년 가을부터 시작되었다지요처음 그리운 나의 반려견을 만들고자원데이클래스를 가서 만들게 되었었고그리고 자격증을 도전하게 되었습니다 그렇게 몇달간 수업을 듣고 만든 나의 작품들가지의 견종 얼굴과가지의 전신인형 수업이였습니다 그렇게 수업을 끝내고자격증 준비를 합니다이렇게 형태를 잡기까지도엄청난 시간과 노력이 필요 합니다수많은 바늘의 콕콕은 인내심을길러주기 까지 할듯 합니다뭔가 더 플러스 요인을 찾고자발톱을 만들었습니다폴리머클레이로 만들어 열처리멋짓 발톱까지 장착하였지요형태를 잡고 식모를 시작합니다이작업의 시작또한 인내입니다단색으로 하면 안되기 때문에털색을 섞어 그라데이션을 해줍니다그리고 색상 위치에 맞게 식모의 연속발톱도깜찍하지요한동안 작업 책상은 요리요리 난리가 났었네요처음에는 만들고 치우고 만들고 치우고점차 마무리 될즈음엔 저 상태뒷태의 모습입니다예쁘게 컷트와 함께 털정리도 해줍니다마무리 귀까지 하면 완성물론수많은 과정들이 생략된 컷들 입니다 그럼 완성컷들 보시고 가실께요 저는 시츄를 선택했습니다왜냐 울 소망이가 시츄였으니까요 좌측 시츄  수업때 만든녀석우측 시츄  이번 시험 제출 녀석이번 녀석의 인중을 더 짧게 했더니더 아가아가스러워졌어요나에게 합격을 줄거니 예쁜 시츄야그럼 시험 제출 합니다 그리고합격이냐 불합격이냐  불합격 세상에 불합격 했습니다얼굴합격전신불합격다시돌아온 제 작품을 보면서왜왜왜 내 시츄가 어때서아니 안 괜찮아요우와슬푸다 슬푸다이렇게 해서 전신인형 마리가 되었답니다  불합격이란 적잖치 않은 충격을 받았습니다쏘믹스는 개 이상의 자격증이 있습니다이럼서 은근 자랑 무조건 원 패스합격 이였는데 한동안 충격에 빠져 양모 만지지도 않았네요아무래도 자만했던 나를 되돌아 보라이렇게 결과가 나왔는지 모르겠습니다월에 발표가 낳고충격으로 인해그 이후로 낚시만 열심히 다녔네요토닥토닥  이제 다시 시작하렵니다놀때 놀고 할때 하자쏘믹스 답게 지난번엔 자격증 후딱 치워버리자 였는데이번엔 느긋이 천천히 준비 해보렵니다 그리고 다시시작되는 컷들 입니다이번엔 다른견종 닥스훈트 도전다음엔 합격소식을 들고오길화이팅 하겠습니다            감사항니다     ,4.179811601905836,47,0,40,29,995.4,1,4.365079365079365,0.23040000000000194,0.1411764705882353,0.33725490196078434,2.39,197,0,6
5,  아이엠미니에서 도착한 양모펠트 가 도착했다 양모펠트를 완성품으로 보기만 했는데내가 직접 만들어볼 수 있는 좋은 기회가 생겼다 설명서는 장 정도가 들어있고 니들과 골무 스트리폼 양모 부자재가 들어있다  처음에는 이 재료들로 어떻게 만들어야 하나 고민이되었는데 유튜브에 양모펠트 혹은 설명서에  나와있는 코드를 이용하면 유튜브에연결된다    아무래도 혼자 만들다보니까 작업 영상보다는 작업사진으로 잠깐잠깐 찍어두었다너무 집중하다보니까  나중에는 사진찍는 걸 잊고 중간에 멈추고 찍음 유튜브 영상은 대충 어떻게 만드는 지 보고 나머지는 그냥 하기로 했다 뭉탱이 양모를 일단 풀어주고 돌돌 말아서 니들로 찔러준다 양모는 처음이라 초반에 바늘로 손을 몇 번 살짝 찔렀는데 생각보다 아파서 들어있는 골무를 끼고 작업했다  양모가 신기한 게 찌르면 찌를 수록 더 빳빳해지고 손으로 만들기가 쉬워진다  하얀색과 회색을 이용해서  바늘로 찔러준다하얀 동그라미 양모 위에 회색 양모를 올려주고 바늘로 찔러주면 서로가 거미줄처럼 연결이 되서 붙는다  완전 신기  펭귄 부리같은 경우는 본드로 부착을 해준다  설명서에서 더 통통하게 귀엽게 하얀양모펠트를 추가로 넣어서 작업하길래따라서 했것만을  모든 게 처음인 나는 초반에 펭귄 얼굴이오리로 변하기 시작했다 약간에 멘탈이 나가서 동생이 얼굴 부분은 보수 해줬다  뿔과 귀같은 경우는 스트리폼에 뜯어낸 양모를 깔고 바늘로 찔러주면 빳빳해져서 손으로 만져주면 모양이 잡힌다 아기 펭귄 가방은 계속 고민했지만 결국은 만들었다 눈을 더 작게 할 걸 코도 더 작게 할 걸 하는 아쉬움이 남았다  전반적으로 바늘로 찌르면서 양모가 빳빳해지고 모양이 잡히는 게 너무 신기하기도 했고점점 형태가 나타나는 것 또한 신기하고 재미있었다 다만 처음이다보니 섬세하게 얇은 끈 부분은 어느 정도로 만들어야는지 감이 안 잡혀서 또 다른 사슴펭귄이 되었다  계속 남친이  부제  엄마가 미안해  로 쓰라고   그리고 재료는 적게 써서 그런지펭귄 얼굴을 하나 더 만들 수 있는 양모가 남았다  아낌없이 써야 더 통통하고 귀여웠을 텐데  남은 걸로  시간이 되면 한 번더 만들어야 봐야겠다      아이엠미니에서 이벤트도 계속 하고 있다월까지는 자랑뽐뽐 이벤트   이벤트  아이엠미니 에서는 양모펠트 뿐만 아니라 집에서 취미생활로 할 수 있는 미니어처 만들기 보석십자수 명화그리기 등 다양한 를 판매하고 있다 명화그리기는 진짜 시간이 금방감  심심할 때 하기 좋음    아이엠미니로부터 제품을 제공받아 제작한 후기 입니다   고 ,3.5394039905324672,21,0,0,10,231.2,0,-7.518796992481203,-7.827700000000002,0.18394648829431437,0.2976588628762542,1.62,308,1,0
6,오랜만에 블로그를 보다가 지난번에 올렸던 니들펠트 글을 보고 급 다시 하고싶은 충동이 일어나아주 간단한 것으로 다시 도전뭐 내가 도전한 건 아니고 내 딸이 도전  참고로 내 딸은 이제 중   여러 개 사둔 니들 펠트 패키지 중에 가장 간단하고 쉬워 보이는 이웃집 토토로로 결정역시나 양모실도 이게 전부매우 간단하다  코드를 찍으면 만드는 방법이 영상으로 나와있지만구찮아서 이런 건 다 패스   사이즈를 너무 크기 않게 만들기로 계획을 하고 찌르기 시작동글동글 말고 콕콕콕 찌르다 보면 스트레스도 풀리는 기분이랄까 다시한번 말하지만 장희빈 된 기분   순식간에 이 정도 작업 가능  그런데부재료로 들어있던 눈알을 꽂아야 하는데  따님께서 눈알까지 다 그냥 콕콕콕 실로 마무리를 하셨다 뭐 나쁘지 않으니 그냥 가는 것으로   이제 머리에 놓을 나뭇잎 콕콕 찌르기  이렇게 머리 위에 나뭇잎을 고정하고 옆에 귀까지 고정작업  쨔잔이런 느낌이랄까   접사로 찍으면 뭐좀 지저분하지만뭐 멀리서 보는 거니깐 그냥 잘했다고 생각하기로   그리고 머리 꼭대기에 구멍을 만들고  패키지안에 함께 들어있던 열쇠고리를 활용하기로  요렇게   쨔잔 완성  아들 녀석 가방에 걸까   딸내미 가방에 걸까 작지만 매우 귀여움 토토로에서 가장 어려웠던 부분은 배에 줄긋기 은근 저런 게 참 어렵다   니들펠트  양모펠트  니들펠트토토로만들기  초간단니들펠트  집콕놀이  코로나집콕놀이  집에서만들기    펠트아트  매일매일  생각하고 감동하고  꼼지락  뻔   ,3.78946345414052,17,1,2,4,1085.4,1,-6.748466257668712,-0.5951,0.1419939577039275,0.3081570996978852,2.17,162,0,0
7, 현백 판교점 교보문고에서 수학 문제집 사러 갔다가 요니 눈에 들어온 양모펠트 제일 귀여운 아이로 들고 왔답니다     양모펠트는 곰손도 만들 수 있대요  저 문구에 저도 혹 해서 몇 개 더 가져올까 하다가 혹시라도 곰손인 저에게 어려울까봐 한 개만 사왔습니당 요니가 만들다가 어려워하는 것은 저의 몫이라 종류가 엄청 많더라구요 귀여운 게 진짜 많았어요    요니가 선택한 피치판다 구성은 색깔별 양모와 양모펠트용 바늘 인형고리 스폰지로 되어 있어요   그림을 보고  크기로 양모의 양을 정해요 먼저 얼굴을 만들 건데요 흰색 양모를 얼굴 크기로 나누어 돌돌 말아줬어요   그리고 요 바늘이 필요합니다 네 개가 들어있었는데요 나중에 유툽을 찾아보니 바늘이 개짜리도 있어서 한 번에 팡팡 찍기 좋더라구요    스펀지에 바늘 두 개로 양모를 고정시켜주고 나머지 바늘로 콕콕 찍어줬어요 들어간 방향과 나오는 방향이 같게 찔러주면 됩니다 이 작업이 가장 많이 소요되는데 분에서 분 정도 해야 양모가 단단해진다고 해요  둥글둥글 동글동글 모양도 잡아주면서 어느 정도 양모가 단단해지면 모양을 잡아가며 바늘을 찔어주면 됩니다  원래는 더 단단한 모양이 되야 하는데 바늘 찌르기에 지친 요니양은 바로 다음 단계로 넘어갑니다  다른 색 양모를 올리면서 똑같은 방법으로 바늘로 찔러주면 돼요   제법 얼굴 모양을 갖추고 있죠  양모 펠트 공예가 생각보다 재밌더라구요 초등학생도 재미있게 할 수 있는 놀이인 것 같아요 처음이라 초등아이와 제가 같이 했지만 몇 번 하면 초등 아이 혼자서도 할 수 있을 것 같습니다   제가 열심히 바늘 찌르기를 하고 있을 때 요니는 판다의 가방을 만들고 있어요 처음인데 혼자서도 제법 잘 하네요   자기가 직접 고른 디자인이라그런지 애정을 갖고 열심히 만들더라구요 가방줄을 마지막으로 피치 판다를 완성했답니다   양모펠트 하면서 주의해야 하는게 요 바늘인데요 요렇게 두 개나 부러졌어요 한 개는 어디로 갔는지 찾지도 못했다능  만들면서 찔리기도 엄청 찔렸어요  저는 피터지고 난리도 아니었네요  요니도 한 번 찔리고  조심해야되겠더라구요 천천히 하면 되는데 성격 급해서 막 찌르다보니까  여유갖고 천천히 하세요   드디어 완성 나름 입체감 있는 피치 판다  얼굴은 비록 초밥같지만  곰손인 엄마와 함께 만든 작품치고는 멋지네요  초등학생 요니양도 엄청 좋아해요    볼수록 얼굴 초밥  요니가 좋아해서 인터넷으로 두 개 더 주문했답니다 알고보니 양모펠트 인기가 많더라구요 초등학생 저학년 놀이로도 좋아요 두 개가 더 오면 완성하고 또 후기를 남길게요      ,2.541144227540358,17,0,3,4,1003.0,1,-2.941176470588235,-7.1513000000000115,0.16112084063047286,0.29772329246935203,1.85,330,3,0
8,오늘 딸에게 깜짝 선물을 준비했어요바로 직접 만든 인형 아이엠미니 양모펠트 인형만들기종류도 다양해요무에서 유를 창조하는 작업이라저도 살짝 걱정했는데똥손인 저도 쉽게 만들었어요만드는 방법 주의사항이 상세하게 나와있거든요바늘도 사이즈별로 보내주셔서용도에 따라 골라서 사용하면 되더라고요바늘이니 아이가 만지지 않게 주의해주세요아이엠미니 양모펠트에는양모와 양모 바늘 스펀지 인형 눈 등이들어있어요패키지 하나로 인형이 뚝딱 완성된다니너무 신기하지 않나요영어로 된 상품 제작 설명서가 옵니다한글 설명서는인터넷에서 다운받을 수 있어요바로 이 양모를 바늘로 콕콕 찍어인형을 만드는 거예요딸기냥이를 만들기 위한예쁜 색색의 양모가 들어있지요먼저 얼굴부터 만들어줍니다직접 만들어서 더 의미있잖아요안전하게 작업하기 위한손가락 가죽 장갑도 같이 배송돼요요거 덕분에 몇 번의 위기를 넘길 수 있었네요이렇게 콕콕 찔러서 얼굴을 만들어주는 거예요찌르면 찌를수록 단단해져요 아이엠미니 양모펠트 첫작업이라제일 시간을 많이 할애한 것 같아요조금씩 추가하면서 동글동글 만들어줬어요저 하는 거 보고 우리딸도 해보고 싶대요엄마 도와주는 예쁜 딸 얼굴 만들어주고눈도 붙여주고무늬도 만들어주고그럴듯하게 완성되어가고 있는아이엠미니 양모펠트 딸기냥이코 색깔 너무 귀엽지 않나요아이엠미니 양모펠트는바늘과 양모만 있으면어디에서든지 만들 수 있어요 기성품이 아니라집에서 직접 만드는세상에 하나뿐인 인형이라 더 의미있는 것 같고요만들다보면 요령도 생겨서시간이 그리 오래 걸리지도 않더라고요짠딸기 가방까지 만들어주니더 귀여워졌어요머리에 딸기 꼭지랑냥이 꼬리가 포인트너무 귀여워서 심쿵뒷모습도 예쁘죠아이엠미니 양모펠트 다 만들고 나서얼마나 뿌듯한지우리딸 하원하자마자 안겨주니너무 좋아하네요사진에 있는 아이엠미니 양모펠트 딸기냥이보다엄마가 만든 게 더 귀엽대요고마워   지금 아이엠미니 홈페이지에 가면출시 기념 이벤트 똥손 이벤트 등다양한 이벤트가 진행 중이에요나만의 인형을 직접 만들어보세요 저는 위 제품을 무상으로 지원받았으나체험 후 솔직하게 후기를 작성했습니다 ,3.694403031449563,17,1,6,17,1877.8,0,0.0,-18.740000000000016,0.13450292397660818,0.3391812865497076,2.52,194,0,0
9,         안녕하세요 펠트친구입니다  오늘 소개해드릴 동영상은 이전에 포스팅했던  리필바늘인데요동영상으로도 한번 더 소개해 드릴까 합니다  양모리필바늘은 구구구 바늘 홀더에 사용하거나 홀더 없이 바늘 하나 만으로도 사용가능합니다  처음 양모니들펠트를 하시면 양모바늘이 잘 부러집니다사용방법을 확인후 사용하셔야 잘 부러지지 않는데요  양모바늘이 부러졌을때 교체하는 리필바늘입니다   양모리필바늘에 이전 포스팅이 궁금하시다면 아래를 눌러주세요     펠트친구에는 다양한 만들기 패키지 부자재 패브릭원단 만들기 강좌를 보실수 있습니다      리필바늘 바로가기우드손잡이 구바늘 바로가기 양모 구바늘 바로가기 양모 구바늘 바로가기         ,4.9772222120641425,0,1,0,0,258.2,1,-11.11111111111111,3.625499999999988,0.12666666666666668,0.4,3.16,62,0,2
