,0
0,와~ 이렇게 모아보니까 진짜 완전 연말결산이에요!! 너무 멋있어요 선생님^^ 돈 안내고 전시회 본 기분 입니다 ㅎㅎ 올해도 고생이 많으셨어요~ 내년에도 손목과 몸 건강하시고 즐거운 연말 보내시길 바랍니다❤️
1,작품하나하나 정성이 가득하네요.. 멋진작품들이에요..
2,"와와!! 이렇게 다 모아두니까 진짜 엄청난거 같아요/// 너무 신기하게도 처음 본 선생님 작품이 없는데, 기억속으로 잊어버리고 있었나봐여~(보면서, 맞아맞아 쌤 이 작품도 하셨지~ 하고 ㅎㅎㅎ) 1년간 하신 작품들을 이렇게 다시 보여주시니까 뭔가 진짜 연말이고 올해의 정리같아요~ 선생님 포스팅 보니까 저도 이렇게 열심히 뭔가 기록을 남겨야지. 하고 5분 뒤면 잊어버릴 다짐을 하게 되네요(이미 기억안나요~ ㅎ)1도 게으르지 않은 쌤~ 남은 2021년 연말 잘 보내시고, 2022년에 뵈요~~!!"
3,매번 예쁜 돌하우스 너무 잘 보고 있습니다.일년에 한번은 고마움을 표시해야 할것 같아 살짝 덧글 남기고 가요 ㅋㅋㅋ앞으로도 이쁜거 많이 만들구 글 올려주세요!
4,저야말로 감사드려요 가뭄에 콩나듯 포스팅해도 늘 좋게 봐주셔서요 내년엔 좀 더 많이 상세히 다양하게 친절한 포스팅 노력해볼게요^^ 무조건 건강 조심하시고 연말 잘 보내셔요^^
5,미니어쳐 상상력이 넘치네요! 좋은정보 갈봤습니다. 편안한 저녁시간 되세요~~!!
6,하루도 빠짐없이 올리는거 정말 쉽지 않은데 대단하신 작가님!! 작품들도 너무 힐링되고 좋습니다:)
7,인상깊은 글이네요. 좋은 포스팅 감사합니다✨👍
8,좋은 포스팅 이네요^^ 좋아요 꾸욱~항상 행복한 시간 되시길 바랍니다^^제 블로그도 와주시면 감사하겠습니다 ㅎㅎ
9,중국아 어쩌냐..한국하면 김치래..
10,헐 미친 꼭간다
11,창의적 예술은 정말 힐링입니다~ 감사히 잘 봤습니다 ~
12,ㅋㅋㅋㅋㅋㅋㅋㅋ
13,보러 가고 싶어지는 전시회네요! 좋은 정보 감사합니다 ^^
14,부러운 황금손을 가지셨네요^^
15,가까워서 꼭 가봐야겠어요..  예약 ㅜㅜ 꼭 해내길 ^^ 감사해요
16,"하엘님, 꼭 성공하시길!아기와 가기 좋은 곳이에요. ♡"
17,오랫만에 블로그 들어와서 ㅋㅋ 이웃님들꺼 보다가 제취향 전시라서 댓글남기네용 ㅎㅎ 대리만족 하고가요 ㅎㅎ
18,잘보고 갑니당!! 감사합니다!! ˙ᵕ˙
19,"와.. 양배추에 서핑하는 모습하며, 스템플러 심을 건물로 표현한 것 하며.. 작가의 상상력이 대단한 것 같아요!! ㅇ0ㅇ"
20,네~ 위트있고 재미있는 전시였습니다. ^^
21,우왕 새롭네요 : )
22,네~ 재미있는 전시입니다.
23,공감 꾸욱 누르고갑니다 ^^ 사진과 글 너무 잘봤습니다 시간나면 제 블로그도 들러주세요~>_<
24,오늘도 즐거운 하루 되세요  °◡°
25,"포스팅 너무 잘 보고갑니다!
들렸던 흔적 남기고 갈게요...
오늘도 좋은 하루 보내세요^^"
26,굿즈 예뻐요 ~
27,우와~~^^신기하네요~~저도 한번 가보고 싶네요
28,와 지퍼.... 표현력 장난아닌듯... 여기 저도 가봐야겠어여 너무좋은데요? 좋은글 잘봤어요 ^^
29,오프라인 수업인가요?위치는요?
30,네^^  용인수지예요~
31,온라인강좌는없지요?
32,여긴 으른들이 더 재미있어 할 것 같네. 실내라서 관리도 더 잘될듯
33,볼게많네요 움직이는 것도 많고
34,여기 가보고 싶은데 예약하기 정말 힘들어요🥲
35,셋트가격 문의드려요~
36,네. 감사합니다.
37,우와 이런 미니어처는 처음봐요...!책꽂이 미니어처라니 뭔가 동화속에 나오는 것 같아요 저 길을 걷다보면 새로운 신비한 일을 만날 수 있을 것 같은:) 조명까지 더해서 너무 예쁜데요?!?
38,책꽂이 미니어쳐 완전 신기 하고무드등도 켜지지 분위기 있고 이쁘네요~~♡
39,요거 넘 이쁘네요~~~저도 광고로 봤었는데 책장에 꽂으면 진짜 책장 볼때마다눈길이 갈 것 같더라구요~~
40,대박 마론님 저 너무 오랜만에 왔죠 헤헤우와! 그나저나 오랜만에 와도 역시 귀엽고 예쁜거…맙소사 이건 책꽂이에 두면 너무 좋겟어요애기들 잇는 집에도 포인트로 해도 넘 좋아할거 같아용ㅋㅋㅋㅋㅋㅋㅋ 뭔가 고양이의보은? 마을같고 ㅋㅋㅋ
41,와~♡너무 낭만적인 골목이예요~어려워보이는데..금새 뚝딱 잘만드셨어요!!!금손+0+
42,"손재주 부럽네요, 책꽂이 사이에 하나 있으면 너무 귀여울 것같아요!"
43,글 잘보고 갑니다 ^^너무 고급스러운 미니어처 하우스네요 ^^나중에 저도 한번 도전해 봐야겠습니다 !!
44,둘이 넘 이쁘시구만요
45,작지만 하찮지는 않은작품이네요~~^^메리크리스마스~~!!^^
46,네~ 메리크리스마스 하셨죠? ㅎㅎㅎㅎㅎ
47,덕분에 많이 알아갑니댜 !
48,예엡~~~~
49,넘넘 작으니까 더 귀엽네요❤️❤️
50,네~ 전 그닥이었는데 보신 분들이 다들 좋아하시네요 ㅎㅎㅎㅎㅎ
51,미니어쳐 하시는 분들 보면 존경스러움~ 도대체 저걸 우째 하고 앉아있을꼬~ ㅎㅎ 이 분의 작품은 빈티지한 느낌이라고 해야하나? 좌우지간 본인만의 독특한 감성이 있네요~  재미있게 잘 봤습니다~ 감사합니다~
52,그러게요 ㅠ 저도 저렇게 작은 공간에 오밀조밀 ㅠㅠ 억만금을 줘도 못한다는 ㅋㅋ
53,기성품처럼 매끈하게 잘 빠진 작품이 아니여서 그런지 작가씨의 감성이 충분히 느껴지긴 하네요.
54,네~ 은근한 투박 멋이라고 해야할까요? ㅎㅎㅎㅎ
55,"와~ 너무 멋지네요~타나카 타츠야님의 미니어처도록과 피규어들이 만나더 멋진 작품으로 탄생했네요^^어린왕자랑 깡통로봇 탐나요!!멋진 전시, 감사합니다~~"
56,오늘의 문방구는 어땠나요?문방구에도 피규어들이 있으면아이들이 좋아할 것 같아요 :)감사합니다감성토끼님
57,"인스타 하지 않는 1,2호 제가 보여줬던 작품들인데방학 때 학원 하루 빼고 전시회 다녀와야겠네요^^시리도록 깨끗하단 느낌이었어요 나비스트님의 우디랑 버즈 깡통로봇 어린왕자도 멋지네여3호가 탐나겠어요 ㅎㅎ"
58,"네, 다녀오시면 아마 좋은 영감이 될 것 같습니다뱃심디디님,감사합니다:)"
59,작가의 꾸준함도 놀랍지만매번 사물을 볼때마다 새롭게 만들어내는 그 아이디어나 위트에 감탄합니다.김밥에 서핑이 눈에 띄였는데 그 뒤에 사진들도 재미와 놀람의 연속~!덕분에 집에서 전시회를 엿볼수 있겠네요^^
60,"네, 10여 년 동안 하루도 빠짐없이 진행한다는 게....정말 쉬운 일이 아닌데대단한 작가 같아요그래서 작품들이 더 가치 있어 보입니다 :)"
61,미니어처라는 새로운 장르를알게 되네요. 저도 전시회에 한번가봐야 되겠습니다.
62,"네, 환기하시면서 다녀오시면 좋을 듯싶습니다감사합니다"
63,저는 유튜브에서 미니어쳐 요리채널을 가큼보는데 너무 신기하더라구요.근데 이거는 초소형 미니어쳐네요.아무튼 신기하고 재미있어요~
64,"네, 소블님네, 10여 년 동안 하루도 빠짐없이 진행한다는 게.... 정말 쉬운 일이 아닌데 대단한 작가 같아요!감사합니다"
65,"작품 사진들 하나하나 다 멋지고 소개해주신 영상들도 다 봤는데 정말 너무 놀랍네요..타나카 타츠야 작업실부터 미니어처 제작하는 과정 하나하나 보니 대단한 세계구나 싶어요...이런 정교한 작업을 매일 인스타에 올린다니..작가의 꾸준함, 정말 좋아서 작업하는 모습이 보여 더 좋아 보입니다..나비스트님 덕분에 또 몰랐던 이야기를 알게 됐어요~^^"
66,"네, 10여 년 동안 하루도 빠짐없이 진행한다는 게....정말 쉬운 일이 아닌데 대단한 작가 같아요그래서 작품들이 더 가치 있어 보입니다 :)지금 2편 전시 이야기 포스팅하고 있습니다 ^^감사합니다"
67,성실함과 꾸준함이 예술로 승화되는 것 같아보여귀하고 귀하게 느껴집니다.타나카 타츠야라는 작가에 대해서 나비스트님을통해 알게되네요.얼마전 전시회에서 미술품 감상하며 느낀 건데모든 예술품은쉬이 만들어지는 작품은 하나도없는 것 같아요~잘 보고 갑니다~
68,말씀하신 것처럼10여 년 동안 하루도 빠짐없이 진행하면서어느 순간 예술로 승화된 것 같습니다그래서 더 가치 있게 느껴지기도 합니다공감해 주셔서 감사합니다달달한 현지마미님 :)
69,작품들 보는데 너무 재미있었어요.🙃사진들도 하나 하나 살펴보고 영상들도 살펴봤는데발상의 전환이라 해야 할까요. 기발한 아이디어들이 돋보입니다. 음식이나 식재료를 사용한 것도 눈길이 많이 가네요.🙂나비스트님을 통해서 또 새로운 예술가를 만나게 되었어요.다녀오신 전시회도 기대됩니다.ㅎㅎ멋진 작품 보여주셔서 감사합니다.편안한 밤 되세요.☺️
70,"10여 년 동안 하루도 빠짐없이 진행하면서어느 순간 예술로 승화된 것 같습니다저도 처음에는 재밌게만 보다가이 꾸준함이 작품들을 가치 있게 만들고 있다는느낌을 받았거든요전시회 포스팅을 작업 중인데,더 크게 느끼네요 :)감사합니다"
71,작가의 상상력에 감탄과 미소가 동시에 나오네요. 정말 저런 소인국의 세계가 실제로 있으면 좋겠다고 생각한 적이 많았었죠. 일본 애니메이션 '마루 밑 아리에티'를 보면서 소인들이 함께 사는 세상이있다면 얼마나 신기하고 재밌을까 상상해보기도 했구요. 실제 나이를 먹어 늙어가는데도 이런 상상은 나이를 먹지 않나봐요^^;;나비스트님의 미니어쳐들과 함께 있으니 또 하나의 작품들 세계네요
72,"네, 라라랜드님처음에 인스타그램으로 볼 때는 그저 재밌게만 봤던 것 같아요그런데, 10년 넘게 매일 올리는 작품들을 보면서어느 순간 예술로 승화된 느낌이 들었어요2편 전시회 포스팅을 작성하면서 더 느끼네요 :)또 하나의 작품으로 봐주셔서 감사합니다라라랜드님"
73,이 발칙한 상상력 도대체 무엇???ㅎㅎㅎㅎㅎ완전 눈이 똥그랗게 되는 신기한 마법세계 같아요~^^
74,"슈나우저 분양 미니어처 슈나우저 _ 강동구강아지분양 잘 봤습니다.,"
75,아 이걸 가야하는데 ㅎㅎㅎㅎㅎㅎ사진으로 볼 때 마다 개구지고 재미있네요 ㅎㅎ
76,너무귀엽네요!!!!❤️
77,보고싶네요~재밌을듯해요!!  섬세하네요^^
78,독특한 예술로 이해하기 쉽네요。ㅎㅎ
79,뭔가 독특하고 작품에 접근하기 편하네요~👍👍❤️작품소개 감사핮니다~
80,대부분 인형은 3D프린팅을 하고 색칠을 하신다고 합니다~-첫번째 방의 비디오에서-
81,아하! 그렇군요.비디오를 자세히 보지 않아서 몰랐어요!그동안 너무 궁금했답니다.이렇게 상황에 맞는 인형들이 크기별로 있을 수 있다는 것이요!감사합니다. 썬마이스터님!올해 복 다섯배로 더 받으세요!
82,감사합니다~~해피뉴이어^^
83,해피뉴이어~~^^
84,"진짜 여기 너무 가보고싶었는데, 대리만족하고 갑니다~ ㅎㅎ"
85,예약하고 가야하나요?
86,그냥 가서 입장권 구입해도 됩니다
87,안녕하세요~ 양모펠트 반려동물 배우고싶은되 어떡해 해야하는건지 궁금해서 문의드립니다. 지역은 하남입니다~ 직장인이라 저녁 수업반도 가능한건지 궁금합니다~
88,주말반은 수업시간이 어떡해되나요?
89,아..ㅜㅜ 토요일 수업만 있는거네요...토요일 12시반퇴근이라 그쪽까지가면 두시쯤 되야해서....ㅜㅜ직장인이라 배우기 쉽지않네요...
90,현재 네비찍어보니 한시간 소요되는걸로 나오는되  퇴근시간 생각하면 7시쯤 도착할것같은되...너무 늦네요..
91,네 ...제가 반려견을 키우고있어서 강아지 하고싶어서요...
92,아~ 네 알겠습니다~
93,와 넘 귀엽네요. 저도 배우고 싶어요
94,재미있어요 배우러오세요^^
95,안녕하세요 니들펠트 배우고싶은데 나이많은 남자도 배울수가있나요? 접근방법도 모르겠고 배우고싶네요 ㅠㅠ
96,배우려면 기간과 가격궁금하네요
97,장소는 어디고 기간과 수강비는 얼마인가요? 반려동물반 하고싶어요
98,"장소,과정,수강비 문의드려요"
99,안녕하세요 글잘보고 가요~^^
100,잘 보고 갑니다^^
101,와우...가격이 생각보다 저럼하네요..
102,귀여운데요 ㅎㅎ..^^ 역시 미니어처는 이런 맛이 있다는 ..^^잘보고 갑니다 ^^..즐거운 불금 되세요 ^^.혀니와 짱미님 ^^
103,이야~! 걸리버가 된듯한 재미가 있겠어요.
104,최근에가봤는데 빙고안해도 뱃지기념품 줘요~전 빙고찾느라 다른부분 못봐서아쉬워요ㅠ 한시간반이 너무 짧았어요~~초등아이들이랑 가면 좋을것 같아요~
105,좋은 포스팅 잘 보고 갑니다 ^^ 자전거 이쁘네요 ㅎㅎ 오늘 하루 마무리 잘하시고 안녕히 주무세요~
106,냅 안녕히주무세요!
107,"공감 누르고 갑니다 ~! ﻿₍ · з · ₎
즐건 목요일 되세요 히히"
108,헐ㅋㅋㅋㅋ 저도 가볼래요🏃🏻‍♀️🏃🏻‍♀️🏃🏻‍♀️
109,네! 가보세요. 재미나게 볼 수 있는 전시에요.
110,아이디어가 재밌는 전시네요 😁
111,귀여워라 저도 가봐야겠어요😆
112,아 저 이거 애들이랑 가려고 하는데계속 밀리고 있어요포스트 보니 또 엄청 가고 싶네요 :-)
113,아~~~이 전시회 가보고 싶어서 딸이랑 주말마다 계획하고 있었는데 아직 못가고 여기서 보게되네요. 엄마가 가시고 아빠가 올라오셔서 수술을 받으시느라 연말에도 마음이 아주 바빴어요. 다행히 잘끝나서 퇴원하시고 모두 일상의 평화로움을 감사히 즐기고있는 중입니다.쎄려니님도 편안함속에 속해있는 새해가 되시길바랍니다.
114,너무 귀여워요
115,감사합니다^^
116,"컨츄리릴리님 글 잘 보고갑니다. 
자주 찾아뵙겠습니다."
117,내부도 곧 두둥~!^^아니 외관이 이렇게 이쁠일인가요~~~넘넘 이뻐용 ^^!!
118,브라운 색상이 차분한 카페 외관같고 조만간 안의내부도 완성 된거기대되네요~~
119,색감도 예쁘고 감성적인 느낌 물씬이네요 *_*시리즈로 진짜 세워두면 넘 예쁠 것같아요내부도 예쁘게 꾸며지면 진짜 좋을 것 같네용!
120,미니민님~그니까요 ㅎㅎ저 시리즈 좋아하는데 ㅎㅎ 이렇게 해보면싹 만들어서 진열해두고 싶어요!
