,Title,Blogger,Post URL,Post,Image num,Paragraph num,Comment num,Video num,weekly viewer mean,Sympathy num,AD,Posting Date
0,"찾아가는 진로체험교실, 경남 거창 신원초등학교 가죽공예체험~",부산 일로가죽공방,https://blog.naver.com/leaf130117?Redirect=Log&logNo=222424399423,"​​일로가죽공방​​ 😂😂갑자기 라면이오?? ​오늘은 멀리 경남 거창에 다녀왔습니다.거창이 이렇게 먼지 전혀 모르고😗😅경남진로체험 한마당 담당자님께서거창 수업되나요? 란 말에 OK 👌했는데 부산에서 2시간 반 걸리는 곳이었어요.​그리하여 새벽부터 고속도로를 타고휴게소를 가게 되었답니다.​휴게소 가면 라면 먹어야죠 ㅋㅋㅋ ​근데 거창 안갔으면 어쩔뻔 했나몰라요.너무너무너무 이쁜 어린이친구들을보고 왔거든요~순수하고 이쁜 친구들​​앗! 휴게소 가서 라면 묵어도간식은 또 먹어야죠~ 로띠번 아입니까!!!시럽 3번은 돌리야 아메리카노 맛나죠​​학교 앞입니다. 비가 어마어마하게 오네요.요즘 날씨가 변덕이라 와장창 쏟아졌다또 잠잠해졌다 또 언제 올지 모르는 ㅜㅜ 😅😅​하늘에 먹구름이 가득 차 있네요.무시라~ ​​반대로 학교쪽은 청량하네요ㅋㅋㅋㅋ아이들이 선생님 언제 오나 쳐다보고 있습니다.​여기 신원초등학교는 전교생이 25명인작은 시골학교에요~ 오늘은 그 중에 15명의 친구들과수업을 할 예정입니다.​​​​교실 곳곳에 아이들의 작품들이 많네요.꼰대같은(?) 얘기일진 몰라도요즘 친구들은 여러가지를 많이배울 기회가 많아 참 부럽습니다. ​라라...떼는 이런게 없었어서 너무 아쉽네요.​​♥​아이들에게 직접 색상을 고르도록 했어요아이들은 명확히 좋아하는 취향이확실했어요~ 바로 겟겟😄👍🏻​​​​보통 초등학교는 고학년만 진행하는데여기는 학생수가 적고 (선생님말씀)'아이들이 어려도 굉장히  똘똘해요~'라고 하셔서 3-6학년까지 같이 진행했어요.​​​​​ 여기 애기같은 친구도 있고씩씩한 형들도 있습니다. ​고사리 손으로 만들어가는 모습이너무너무 귀엽죠?㏊㏊㏊！​​제가 습관적으로 '애기야~' 라고했다가 아이들에게 혼났어요~ṑṑṑṑṑṑ. 미안미안해♥​​'저 애기 아니에요~''아 미안해 미안해~ 선생님이 니가 예뻐서 그랬오 ㅜㅜ'​​​우리친구들의 완성작이에요~다들 너무 예쁘게 완성했지요~ ​​​​이 친구는 엄마를 줄거라고이렇게 화사한 색상으로 만들었어요.이 친구는 본인이 이해할때까지저를 안 놔주는 거 있죠? ㅋㅋㅋ너무 너무 귀여웠어요:)♥​​​ 팔찌는 본인팔목에 딱 맞아야 예뻐대부분 친구들에 맞게 맞춰줍니다.  그러나 엄마나 할머니 준다는 친구들은조금 크게 맞춰줬어요.​​​두둥~ 우리 친구들♥어딜가나 손재주 좋은 친구들은더 하고 싶어 저만 졸졸 따라다녀요~ ㅋㅋㅋㅋㅋ​아이들이 너무 눈에 밟혀 결국몇개 더 주고 왔습니다 ㅋㅋ​​​부산으로 돌아오는 길돌아오는 차 안에서 아이들의 귀여웠던모습들을 얘기하며 정말 즐겁게돌아왔답니다~ ​​거창 안갔으면 어쩔뻔 했나 몰리용​#가죽공예출강 #일로가죽공방 
제
 
 
",20,231,1,0,183.0,7,,2021. 7. 8. 13:00
1,가죽공예:매듭팔찌재료 북미실로 가죽신발 미니어쳐만들기,초록여신 핑거쇼룸,https://blog.naver.com/flute8248?Redirect=Log&logNo=222362716688,"가끔씩 새롭게 도전해 보는 가죽공예혼자 하는 거라 어설프기는 하지만나름의 맛과 멋으로 즐기는 재미가 있으니그 또한 좋으며 더더군다나 자그마한 미니어쳐만들기는 만드는 내내 눈과 손이다 즐거워서 좋아요~^^​특별한 가죽공예 도구를 대단하게갖추고 있지는 않아도 준비 들어가면작업실에 있는 것들 제법 쏠쏠하게여기저기서 갖춰지는 가죽공예 도구들되거든요. ㅎㅎㅎ​​이렇게 또 지난날 만들었던 자그마한 레드 가죽신발 미니어쳐 키링이 오늘 제 눈에 들어오면서 설레게 하고 있으니 ㅎㅎㅎ조만간 2층 작업실 한바탕 뒤질 것 같네요.​가죽공예 도구 그리 특별할 것 없습니다.뭐든 다 갖추려고 하면 시작 못 하는 법​​​ㅎㅎㅎ 귀엽죠?작은 미니어쳐 가죽신발이라고 해도정성이 들어가는 작업인 만큼 제대로 시간과 정성을 듬뿍 들여 만들어야 하기에 제대로 과정 담아주었거든요.​요 인상적인 과정은 아래에서 설명하기로 하고우선 어쩌다 생각나서 하는 저만의가죽공예에 필요한 도구라 함은저는 사용하는 가죽은 워낙 가죽자투리들이받아놓은 게 색상별로 여러 개 있기도 하지만요 경우는 일본에 갔을 때 사 왔던 가죽신발패키지랍니다. 그리고 알록달록 예쁜실은소장가치 충분한 매듭공예 하시는 분들 사용하는북미실로 매듭팔찌재료로 대표적인 폴리사로 된 왁스실이라 실팔찌매듭팔찌 만들기 할 때 사용하면 딱 좋은데, 가죽공예로도사용해보니 좋더라고요.​​​​기본적인 다양한 면사매듭법을 이용하여작게는 실팔찌만들기 방법들부터 마크라메 만들기 등 정말 무궁무진 매듭법이 워낙 다양한 만큼 사용하는 매듭팔찌재료에 따라서도 굵기가 다르게 나오고 크기가 달라지기 때문에 얼마든지 다양한 작품세계가 나오게 되는 거죠. 이런 매력적인 매듭공예를가죽공예와 함께 곁들이면 그 매력이얼마나 더 배가 되겠어요.​규방공예에도 나오는 기본적인 매듭법도래매듭은 매듭팔찌만들기에 반복적으로사용하면 심플하면서도 느낌있어 딱 좋거든요.위와 같이 방향만 틀어줘도 무늬가 나오는형태로 매듭이 나오니 더 멋스럽고요.​​요렇게 예쁜 무늬가 생기는 매듭법까지 더한다면 기본 도래매듭을 기반으로원석비즈까지 더해서 사랑스러운작품이 탄생되니 매듭법에 빠지게 되면또 끝이 없게되죠. 저도 규방공예로잠자리매듭이랑 여러가지 다 했었는데지금은 또 가물가물하네요.^^;;;​​​​저는 미니어쳐만들기로 작은 사이즈라 가장 기본적인 가죽공예에 매듭팔찌재료인 북미실만 사용한 상태지만나중에는 여러 가지 공예를 같이 합작품으로하는 게 늘 목표거든요.​핑거니팅도 펠트와 함께 곁들여 하면더욱 완성도 있는 작품들이 탄생되듯이...​​​​본격적으로 가죽신발 미니어쳐만들기과정 정리해볼게요~​가죽공예 도구에 빠질 수 없는 가죽용 바늘사용하면 더욱 편하게 바느질할 수 있습니다.저는 없어서 일반 바늘을 사용해 손이얼얼했던 기억이 있거든요.​신발 앞 등 부분 바닥 위에 올려 먼저박음질 꼼꼼하게 합니다.박음질하는법은 구멍이 이미 정해져 있으므로한 칸씩 옮겨가며 박음질하면 되는데요,일반실이 아닌 매듭팔찌재료인 왁스가 되어있는 실이라 당겨주며 일정하게땀을 만들어주는 게 필요합니다.​​매듭팔찌재료 북미실은 실 굵기별로 활용도가 조금씩 다를 수 있으니 궁금하신 분들은참고해보세요 둘러보시면 도움 되실거예요.제가 가죽신발 미니어쳐에사용한 실은 1.2mm랍니다.​​사실 요렇게 안해도 되거든요.ㅎㅎㅎ하지만 정말 꼼꼼하게 딱 제대로 붙어라~하는 마음도 있었고, 재미 반 사진에담아 추억으로 간직하고 싶기도 했고,평소 작은 사이즈의 악기수리도 꼼꼼하게하는 옆지기가 그냥 넘기지 않는 성격이라요렇게 해주더라고요.ㅎㅎㅎ​그런데, 두고두고 볼수록 아주 잘 했던 것 같아요.^^​​​가죽공예로 미니어쳐만들기 즐기는 분들주변에 계시죠?^^도안과 함께 자료 갖고 계신 분들도 있겠고워낙 책으로 소장하고 계신 분도 있겠지만 없는 분들도 계실 것 같아 몇 가지만오늘 가죽신발 올리는 김에 관련 있는 것 도안과 함께 담아봅니다.​​​​​​​​​​​​일본 가죽공예 서적에 담긴 미니어쳐만들기오래전에 나온 서적이라 이미 익숙하실 거예요.​프린트 설정 조금 다르게 하거나 포토샵하신다면 크기 원하는 데로 가능하니요즘 인형신발 만드는 분들 얼마든지갖고 있는 인형에 맞게도 응용해서 가능하실 거예요. 한번 도전해보세요~​작은 사이즈는 뭐든 다 예쁘잖아요.^^북미실은 소량으로도 가능해서 컬러별로있으면 요렇게 가죽공예 뿐 아니라 실팔찌 매듭팔찌만들기 할 때도 그렇고두루두루 요긴하게 쓰기 좋답니다.​​​바노

“느.

눈거즈

꾸~은

제 >

ㅇㅇ”
세.
××××××%×%××%××%××××%××
",21,427,0,0,5799.4,251,,2021. 5. 24. 8:30
2,[ 가죽공예 / 오뜨 가죽공방 원데이클래스 ] 명함지갑 & 입체... ,ooitw (오뜨) 가죽공방,https://blog.naver.com/inkyung78?Redirect=Log&logNo=222413831340,"​​​ooitw (오뜨) 가죽공방 _ 원데이클래스​​​​​입체 카드지갑 만들기​​일요일 오후 2시타임을 예약하고 오신 남자수강생분명함과 카드지갑을 따로 갖고 다니는게 불편해 하던차에블로그를 보고 이거다 싶어 만들러 오셨다고 하네요 :)​푸에블로 _ 블루 & 핑크를 사용하여 깔끔하게 완성하셨습니다.​​​​색상 선택후 재단부터 직접하셨습니다.손으로 만드는걸 좋아해서 가죽공예는 해보고는 싶었는데기회가 없다가 요번에 필요한게 생겨  가죽공예를 신청하게 되었다고 하시네요​​수납이 많이 되어 지갑겸용으로도 딱인 카드지갑입니다.명함이 들어가는 사이즈라 명함지갑을 따로 들고 다니지 않아도 됩니다.이거 하나면  o.k​​뒷면에 카드슬롯이 하나들어가는데동그란 아이를  튼튼하게 테이프로 붙여 작업해 오셨더라구요..이거를 뒷포켓에 넣어 작업하고 싶은데 가능할까요 ?이게 몬가요? 집키 !겉에가 부러져서 동그란 아이만 남았다고 하네요동그란 아이만 들고 다니자니 수납이 불편하고 슬림한 카드지갑을 사용했는데이 아이만 볼록 튀어나오고 문을 열때면 빼서 사용해야 한다고 하시네요..공방에 오기전에 요아이를 카드지갑에 잘 수납할수 있도록 고민하고 오셨다고 하네요 :) 가능한지가 엄청 궁금했다는 수강생분​​​​​타공을 하여 테스트후에 가능할것 같다고 말씀드렸더니 좋아하시는 수강생분 ㅎ타공을 한김에 바늘땀을 넣어 작업하면 좋을 것 같다고 말씀드렸더니저야 좋죠 !!하시네요 ♡​​​집키라고는 다른 사람들은 잘 모를 것 같아요 ㅎㅎ바늘땀이 너무 고르고 에쁘네요 :)​​​색상이며 본인이 원하던 카드지갑이라서 너무 마음에 들어 하셨어요 :)다음에 다른 걸 만들러 오겠다며 다음을 기약하며 가셨답니다.♡4시간동안 작업하시느라 수고하셨습니다.예쁘게 사용하시기 바랍니다.감사합니다 (__)​​​​​​​오뜨 가죽공방, 염창역 가죽공방9호선 염창역(급행) 2번출구ooitw(오뜨) 가죽공방_ 수강생작품​가죽공예수업,정규수강,원데이클래스서울 강서구 공항대로81길 15  3층 301호TEL: 010-9443-7807 카톡ID:singcat2​​​",11,184,2,0,170.8,12,,2021. 6. 29. 10:32
3,두줄 손목시계 만들기 - 가죽공예 diy 키트 / 설명영상제공,소잉돌 - 호호미공방,https://blog.naver.com/hohome_?Redirect=Log&logNo=222433153331,"전에 시계 수업을 하셨던 선생님께서다시 연락을 주셨어요​시간이 좀 촉박하다고 최대한 빨리 보내달라고하셔서패킹 하자마자 택배 상자에 담느라겨우 이렇게 사진 한장 남겨보았네요상자 한가득 담고보니 작업 기록은 남겨놓고싶어서컬러별로 하나씩만 얼른 꺼내어 찍어보았습니다 ​​​​컬러는 무채색에 가까운 조금 어두운 계열로 하고싶다고하셔서사진 보내드리고 고르시도록 도와드렸어요제가 추천드리는 컬러들 보여드렸는데 거의 다 맘에 든다고하시며이중에서 네이비만 빼고 다섯컬러로 주문주셨습니다 ​​​브라운과 블랙은 남녀노소 가리지 않는 불변의 컬러 이고호호미쌤의 요즘 강력 추천 컬러는 화이트 랍니다 ​​​​택배 보내드리면 항상 고맙다고 연락주시고수업 마치신 후에도 꼭 피드백 주셔서학생들 수업용으로 준비해드리는 작업에 보람을 느끼게 해주시는 선생님이세요 ​제가 감사하다 인사드리면이렇게 잘 챙겨서 보내주셔서 오히려 감사하다고 인사해주시구요​다음 수업때도 연락주시면또 예쁘게 꼼꼼하게 챙겨서 보내드리겠습니다 감사합니다  :)​​​​​#학교동아리 #문화강좌 #공예연수 #체험프로그램 #학부모교육 #건강가정지원센터 #보건소힐링교실 #온라인클래스 등 다양하게 적용해 볼 수 있는 #가죽공예키트재료를 주문하셔서 바로 수업에 사용하실 수 있도록 1개분량 개별 포장된 패키지를 판매중입니다​사회적 거리두기가 필요한 시대비대면 수업진행 가능하도록 설명 동영상을 제공해드리고 있습니다​​​​​​[말랑쏘잉] 스마트스토어에서 판매중이니 위 링크타고 오셔서 다른 키트도 구경해보세요주문이나 수업관련 문의는 연락주시면 자세히 안내드리니 궁금한점 있으시면전화, 문자 O5O7 - 1316- 2569 로 연락주세요수업중에는 바로 전화를 받기 어려울 수 있으니 메시지 남겨주시면 확인하는대로 연락드립니다 ​​​​​​​​*",4,166,0,0,306.2,16,text_ad,2021. 7. 16. 8:10
4,[가죽공예 : 가죽공방 담담 수강생 작품] 노트북 파우치... ,가죽공방 담담,https://blog.naver.com/fishfantasy?Redirect=Log&logNo=222417547840,"​왕십리 가죽공방 담담 일요일 수강생분께서 만드신 노트북파우치입니다.​​​​남자친구분을 위해 큰 사이즈의 손 많이 가는 노트북파우치를 완성하셨습니다.지치실만도 한데 끝까지 열심히 차분하게 잘 만드셨어요 ^^​​​​​​​​​디자인은 남자친구분의 의견을 100% 반영하셨는데겉에는 긴 지퍼 포켓이, 안쪽엔 입체포켓, 보강재가 빵빵한 평면 포켓 등등 그 형태와 구성이 다양합니다.​​​​풀러도 정성껏!​​​​살짝 열어본 안쪽이 뭔가 많아보이죠?ㅎㅎㅎㅎ​​​원래 사용하시던 파우치에 있던 빵빵한 충격 흡수 스펀지를 다 떼서 여기 고대로 옮겨 붙이셨어요이게 되게 귀찮은 일인데 노력과 정성이 대단해요 ㅜㅜ​덕분에 노트북 넣으면 안심하고 가지고 다니실 수 있겠습니다(몰래 아이패드 한 번 넣어봤어요~)​​​반대편엔 입체로 된 포켓이 있어서 부피가 있는 충전케이블 같은것도 넣을 수 있습니다.막 빠져나오지 않게 스프링스냅으로 고정시킬 수 있어요.​​​​​​마지막 파이핑과 바이어스 작업까지 어느 하나 쉽지 않았지만잘 완성해주셔서 아주 기뻐요!​남자친구분이 닳도록 사용해주심 좋겠네요 ^^​​수고하셨습니다~​​​​​​:: 왕십리 가죽공방 담담 ::​서울시 성동구 무학봉28길 9 창우빌딩 401호010-8803-6169​​#서울가죽공방 #성동구가죽공방 #왕십리가죽공방 #가죽공방 #가죽공예 #담담공방 #취미 #손바느질 #노트북파우치 #노트북케이스 #클러치 #포트폴리오",8,127,0,0,86.0,20,,2021. 7. 3. 8:00
5,코스 목요일 토요일 모집 일본식 정통 가죽공예 가죽공방 창업,언블런 핸드메이드 잠실 가죽공방,https://blog.naver.com/ful0907?Redirect=Log&logNo=222398069189,"​​안녕하세요 ​​일본에서 패션디자인과 가죽공예를 공부하고 지금은 잠실에서 가죽공예 교육을 하고 있는 잠실 가죽공방 언블런 입니다 ​​​언블런 가죽공방 에서는 체계적으로 가죽공예를 배울수 있는곳 입니다​패턴을 제공하여 만드는 단순 카피를 만드는 수업은 하지 않습니다명품 카피는 하지 않습니다 ​디자인부터 패턴을 직접 할수 있도록 교육을 하고 있습니다 그외에도 가죽 카빙도구연마등가죽공예에 필요한 여러가지 공예를 배울수가 있습니다 ​​빠르게 많이가 아닌​하나를 배우더라도 천천히제대로 많은분들이 언블런 가죽공방에 오셔서 수업을 듣는 이유입니다 ​커리큘럼대로 일본식 정통 가죽공예를 체계적으로 배울수 있습니다 ​첫수업 카드지갑만들기​멋진 지갑을 완성 하셨어요 제주도에서 매주 오시는 수강생분​디자인부터 패턴​첫수업 부터 배웁니다​​가죽공장 창업반 수강생분​귀여운 지갑 완성!은으로 만들어진 콘쵸를 이용해서 제작!​바느질과 단면 마감을오렌지색으로이니셜 각인까지수제의 특별함많은분들이 언블런 가죽공방에 오시는 이유가 있겠죠​체계적인 수업일본식 정통 가죽공예를재미있게제대로 배울수 있는곳​​가죽공방전문가반창업반 모집중​010-57610907 잠실동205-22 1층 주차가능 ​#잠실가죽공방 #잠실새내가죽공방 #가죽공방창업#서울가죽공방#핸드메이드가죽공방 #수제가죽가방 
 
",28,111,0,1,613.8,11,text_ad,2021. 6. 14. 20:19
6,가죽 마우스패드 만들기 diy 가죽공예 재료 학교로 납품 고고~♬,부산 일로가죽공방,https://blog.naver.com/leaf130117?Redirect=Log&logNo=222414652799,"일로가죽공방,일로레더​​​​안녕하세요 일로가죽공방입니다.예전에 영도제일중학교 선생님들 의뢰로하게된 마우스패드 수업이에요~ ​그때 수업한 후기를 보시고 진천군에 있는고등학교에서 가죽공예키트로 카드지갑과 마우스패드를 주문해주셨어요.​사실 주문해주신 진천군 고등학교 선생님은작년부터 꾸준히 주문해주신 분이라수업으로만 할려고 했던 마우스패드를준비해드렸습니다.​마우스패드는 사이트에서 키트로 판매하진않지만 재료만 구성해서 학교 납품은 가능해요.물론 찾으시는 분들이 많아지면 키트로 판매할지도.... 모릅니다.ㅋㅋ-+​​​이거는 심플카드지갑 키트입니다.이 카드지갑 이전엔 팔찌,키링까지 다양하게 주문주셨는데 역쉬!!! 이게 제일 인기가 좋은거 같아요.​색상별로 주문주셔서 진열하고 찍어봤어요왼쪽부터 본(베이지), 핑크, 옐로우, 올모와인, 오르텐시아, 올리바, 퍼플 , 진밤, 블랙입니다.​이렇게 색상별로 찍어보니 느낌이 새롭네요:)​​​본(베이지)과 핑크는 서로 교차해서포인트를 주면 참 예뻐요~♡​핑크는 실제로 보시면 정말 뜨~악합니다.너무 이뻐서..ㅋㅋㅋ​​마우스패드 역시 색상별로 준비했어요.기존에 파는 사이즈보다 조금더 큰 편입니다.그래서 넉넉히 공간을 두고 사용할 수 있지만바느질하기엔 양이 꽤 많아요~​근데 바느질 해놓으면 진짜 이쁘더라구요~​​​핑꾸는 이쁘니까 한번더 ~보여죠~♡♡​학교선생님뿐 아니라 학교에 출강 가시는진로선생님들도 문의가 많네요감솨감솨~~​블랙은 블랙만이 줄 수 있는 매력이 있죠​​​​​이번에 주문주신 선생님은 가죽공예를 하실 줄 아는 분이라서 설명서 없이 재료만 구성해서 보내드렸습니다~​안전하게 뽁뽁이 돌돌 말아 납품완료~​​​ 마우스패드는 수업시뒷면 마감 10분 바느질 1시간 단면 마감 10분총 넉넉히 1시간 반 또는 2교시 잡고수업하시면 좋습니다:)​참고해주세요~​​ 
",13,150,0,0,183.0,6,,2021. 6. 29. 23:11
7,가죽공예배우기/가죽카빙-풀잎문화센터북수원지부,북수원 풀잎문화센터,https://blog.naver.com/sopoung0505?Redirect=Log&logNo=222405503026,🍀풀잎문화센터북수원 지부🍀 ******   수강생 작품****      👏카빙지퍼클러치👏​자격증과정 마지막작품​가죽공예  .빈티지가죽공예가죽 가방반  .취미반자격증반​    🍁 한땀한땀 정성 으로  사랑담은 가죽소품​   -  월요일 -​  오전10시~오후 9시 ​  😊031-269-5579​​📌수시접수로  코로나19 방역지침으로      소수 수업으로 진행하므로  사전예약필수 입니다.​항상즐겁게~~~수업해주셔서 즐겁고 감사합니다^^모두 건강잘 지키면서   활기차게~화이팅​천천롯데마트앞 롯데프라자6층 (하나은행)​#북수원풀잎문화센터 #문화센터수업 #수원장안구풀잎 #풀잎문화센터북수원지부 #일일특강 #우린이겨낼수있어요 #경기지역화폐쓸수있어요 #수원페이가맹점 #소독완료 #직장인반 #직장인취미 #천천동가죽공예수업 #자격증반 #가죽공예 #남자크러치만들기 #남편생일선물#수원장안구가죽공예배우기 #가죽크러치만들기 #수원가죽공예 #통가죽소품 #가죽가방 #가죽카빙가방,3,77,0,0,92.6,6,,2021. 6. 21. 19:43
8,신도림 가죽공방 가죽공예 아카데미 오렌지 토드백,지나베가죽공방 신도림점 010-9146-7283,https://blog.naver.com/flowerpm?Redirect=Log&logNo=222417840820,"지나베 가죽공예 가죽공방 아카데미오렌지 토고 가죽으로 여자들의 데일리백을제작해보겠습니다~~토고가죽의 이쁜 부의만 골라서세로라인으로 재단해주고바로 제작들어갑니다~~먼저 손잡이를 만들어 주고땀수맞혀서 본판이랑 땀 갯수가완벽하게 떨어지도록 바느질라인 잡아주고손잡이 달고 옆판합체해주고나서바닦라인 잡아줍니다~이제 본판끼리 연결해주면몸판은 완성바닦 파이핑 연결해주고 나서본판 뒤집기페링거 토고의 쫀득함으로 보강하나없이 제작합니다~바닦은 물건을 받쳐줄 힘이 필요하니까스프린트 가죽으로 보강해주고안감은 미싱으로 작업을 해주고 나서마지막 바이어스 작업에 들어갈 긴줄을 엣지작업해주고안감이랑 본판이랑 합체들어갑니다~그렇게 완성된오렌지 토고 토드백에강아지참 한마리 달아드리기~~~오렌지 토고 엄청 이쁘네요^^유투브 채널도 있어요^^https://youtu.be/WMZWaf8Hh54​​​ 
",29,63,0,0,49.4,3,,2021. 7. 2. 18:32
9,"평택,가죽공예,가죽노트북가방,한국문화센터",평택한국문화센터,https://blog.naver.com/gjdhrwk?Redirect=Log&logNo=222438723039,"​#평택 #한국문화센터#가죽공예​#노트북가방만들기수강생 수업작품 입니다^^#평택가죽공예​​코로나로 인해 온라인으로 일을 많이 하신다고 본인 노트북 사이즈에 맞춰서 만드신 가방이랍니다.​베지터블 가죽도 2가지로 구매하시고 엄청 꼼꼼하셔서  예상했던 시간보다 조금 더걸렸지만 넘 만족해 하며예쁘게 들고 다니신답니다 ~~~^^​​차근차근 기초부터 시작해 가방까지 ~~~1년넘게 열작업 하고 계신답니다앞으로도화이팅 하세요 ~~~^^​​#평택문화센터#가죽공예수업​매주 월요일​#가죽공예자격증반#가죽꼴라주자격증#취미가죽공예#카빙연구반 등등일대일 개인지도로 진행되며,,,​매주 월,화요일#가죽공예국비훈련저녁7시~10시까지 진행,,,​매주 화, 수요일오후4시~7시까지#가죽국비훈련 수업 진행됩니다.​모든수업은사전예약 해주시고,,,#국비수업 은 #국민내일배움카드 발급후#온라인수강신청 하시면 됩니다.​ 
",2,56,6,0,209.6,11,,2021. 7. 20. 20:11
