,Title,Blogger,Post URL,Post,Image num,Paragraph num,Comment num,Video num,weekly viewer mean,Sympathy num,AD,Posting Date
0,◆ 가죽가방만들기 초초초보 반달가방 제작기,가방만들기 가죽공방 까르쉐,https://blog.naver.com/kim7108?Redirect=Log&logNo=222387356279,"​​​​​​​초초초보를 위한 반달가방 제작기​​​​​​​​초초초보를 위해서 만든 반달가방이에요제작기도 너무 간단합니다.보강재x, 안감x, 오로지 겉면만 번지르르한~보강재를 하시면 안감도 하셔야 해요.​가죽은 bbg로 만들어 보았습니다.오플이나 마티가죽도 이쁘게 나올것 같지만만들어본 것이 아닌지라 장담할 수 없어요.​양면가죽으로 했더니 만들기 너무 어려웠지만각이 아주 잘 살아서 이쁩니다.양면가죽으로 한건 아직 기리메를 안 칠해서 나중에추가할 예정입니다.​​어깨끈 만들기 싫어서 다른가방에 있던 어깨끈빌려서 찍었는데 의뢰로 좋아보이네요.역시나 겉만 번지르르르한 가방이였습니다.​​​​​​​​​​​​​​​​​​​​​​​이제부터는 제작기를 올립니다.​​1. 패턴대로 재단합니다. ​​​2. 재단된 가죽의 빨간 부분에 기리메(엣지)후 자석을 해 주세요.옆면의 D링 할 곳도 미리 기리메후 리벳으로 박았어요.​​​3. 앞면과 옆면을 본드로 붙이세요.​​​4. 바느질도 해 주세요. 전 미싱으로 했어요.​​​5. 제일큰 뚜껑&뒷판과 뚜껑안 가죽을 테투리만 붙이세요.(일자부분은 본드칠 안하고 둥근둘레만 본드로)밑부분처럼 본드를 전체 바르지 말고 테두리만 바르세요.​​​6.  본드를 붙인 곳에 바느질~​​7.  이제 나머지 부분도 기리메(엣지)하면 끝~​옆에서 보면 이렇게 보여요​​​​​이제 기리메를 모두 바르면 겉면이 번지르르르한 가방이 나옵니다.​​#번지르르 가방 #가방제작기 #가죽공방 까르쉐 #이노목형 #이노디자인 3팀 #가죽가방만들기 #가죽공예 #상도동가죽공방 #미싱공방 #피할기#가방패턴수업 #가방만들기 #신대방삼거리 #신림동가죽공방 #가죽미싱공방 #가방전문공방 #샘플제작 #주문제작 #핸드메이드 #핸드백제작 #신림동가죽공방 #가죽공방가방 #졸전",13,146,0,0,67.2,25,suspect,2021. 6. 7. 22:20
1,폰 가방 만들기 110세트 - 가죽공예 diy 키트 / 설명영상 제공,소잉돌 - 호호미공방,https://blog.naver.com/hohome_?Redirect=Log&logNo=222350095790,"공예 체험 수업에 필요하시다며 중학교에서 주문해주신핸드폰 가방 만들기 패키지한 학년 전체가 참여하는 공예 수업용으로 새로운 컬러 더해 다양한 느낌으로 준비해드렸습니다​​​​​한학년 전체가 참여하는 1학기 아트클래스​110세트 모두예약하신 날짜에 딱 맞게 보내드리느라작업일지 꼼꼼하게 작성해가며 날마다 정해진 분량의 작업을 부지런히 마무리했어요​​​​다른 아이템들에 비해 실용성이 높아 맘에들어하시는 핸드폰 가방 만들기 패키지완성 후 백인백이나 간단 파우치로도 사용 가능하답니다 ​​​​#학교동아리 #문화강좌 #공예연수 #체험프로그램 #학부모교육 #건강가정지원센터 #보건소힐링교실 등 다양하게 적용해 볼 수 있는 #가죽공예키트재료를 주문하셔서 바로 수업에 사용하실 수 있도록 1개분량 개별 포장된 패키지를 판매중입니다​사회적 거리두기가 필요한 시대비대면 수업진행 가능하도록 설명 동영상을 제공해드리고 있습니다​​​​​​[말랑쏘잉] 스마트스토어에서 판매중이니 위 링크타고 오셔서 다른 키트도 구경해보세요주문이나 수업관련 문의는 연락주시면 자세히 안내드리니 궁금한점 있으시면전화, 문자 O5O7 - 1316- 2569 로 연락주세요수업중에는 바로 전화를 받기 어려울 수 있으니 메시지 남겨주시면 확인하는대로 연락드립니다 ​​​​​​​* 
",4,119,0,0,295.6,15,text_ad,2021. 6. 11. 8:40
2,백참버킨 예뻐요~ [홍대 가죽공방 운조] #가방만들기 #백참 #취미... ,홍대 가죽공방 운조,https://blog.naver.com/wunjo373?Redirect=Log&logNo=222411352318,"Leather Craft Studio WUNJO​​​[홍대 가죽공방 운조]​​듀피 토고로 제작한 백참 버킨입니다.가로7센티의 앙증맞은,,근데 수납 가능합니다!!!(아마도 동전이나 급격히 당떨어질때를 대비한 사탕두개정도?)작업기는 내일 포스팅할께요^^​백참버킨 패턴 스마트스토어에도 업데이트 하였습니다.링크는 포스팅 맨 아래 걸어뒀어요​​​​​​​​백참 버킨 패턴은 아래 링크에서 구매 가능합니다^^https://smartstore.naver.com/wunjo/products/5676046356​===========================Leather Craft Studio WUNJO홍대 가죽공방 운조수강생 상시 모집합니다01020629954KAKAO: talkinghead​​#가죽공예 #가죽가방 #만들기 #diy #취미#백참버킨 #미니버킨 #마이크로버킨 #가방패턴 #가죽공예배우기#가방만들기 #가죽공예패턴 #패턴인사이트 #가죽가방 #가방만들기도안#홍대가죽공방 #가죽공방 #합정역 #망원동 #연남동 #상수 #마포#홍대 #가죽공방 #운조 
",12,62,10,0,83.6,10,,2021. 6. 29. 8:30
3,가든파티st 가방만들기 아직 미완성 - 가죽공방 탄,낑깡공주와 고양이부대 강아지특공대,https://blog.naver.com/yuria8878?Redirect=Log&logNo=222397940921,가든파티 스타일의 가방을 만들고 있어요.​시어머니 생신 선물로 만들고 있었는데 아무래도 생신때 전달은 어려울거 같아요.진도도 더디지만 공방쌤이 이번주 사정이 있어서 수업 어려울거 같다고 ㅜ.ㅜ​암튼 가든파티st 가방 만들기 중간과정을 보여드리요.​에토프 색상의 가방을 어머님이 고르셨는데 마침 공방에 가죽이 없어서한장을 주문할 수 밖에 없었어요.최고급 이태리 토고 가죽이라 가격이 ㄷㄷㄷ​재단 부터 직접하는 수작업 100%의 가방만들기 입니다.가죽 한장중에 남은 걸로는 할잔스타일 가방을 만들어 볼까해요.재단을 어느각도로 알뜰하게 하느냐에 따라서 로스 없이 마무리 할 수가 있답니다.칼이나 주사 공포증이 있어서 재단할때는 항상 긴장하게 되요.1. 손베일까봐2. 가죽 잘못잘라서 버릴까봐​걱정과는 다르게 재단은 잘 되었구요.보강재도 붙여주었답니다.​원래는 이 오렌지색 가방으로 해드릴까 했었는데싫으시다고 ㅋㅋㅋㅋ​파란색도 싫어하시는거 같아서 파란색을 그냥 제가 만들어서 가지기로​재단도 본드칠도 다 힘들어요. ㅋㅋㅋ​재단된 가죽 단면에 엣지코트를 바르는 일은 더 세월아 네월아 이구요.​이음면 가죽을 얇게 다듬는 피할작업은 선생님이 해주셨어요.​틈틈히 집에 숙제를 가지고 와서 바느질을 했답니다.가방만들기는 시간이 엄청 오래 걸려요. ㅋㅋㅋ​손잡이 만드는게 가장 힘들었답니다.심지를 본드칠해서 넣어서 고정한 후에 바느질을 해야 하는거라손가락도 많이 아팠어요.​가방이 두개니까 시간도 노력도 많이 걸리네요. ㅋㅋ바닥 밑판도 완성했어요.​인고의 손잡이 바느질이 꼭 한땀씩 안맞는 부분이 생겨서풀고 다사해야 하는 일이 발생을 하네요. ​파이핑도 처음 만들어 봤답니다.가방 하나를 만드는데 이렇게 많으 공정이 필요하네요.​지퍼고리도 만들어서 엣지 작업까지 끝내 놨어요.​손잡이 고정해서 부착하는거 선생님이 많이 도와주셨어요.​집에 와서 부지런히 지퍼창에 주머니도 달아놓구요.​손잡이 자리만 잡아놓은거 바느질 까지 다 마쳤답니다.이제 바닥이랑 앞뒷면 연결하고 안감에 바이어스 테이프 까지 해야 하는데아직도 갈길이 멀어요. 어차피 수업 한번으로는 안끝나겠지만 많이 아쉽네요.이번주말에 선물로 전달해 드려야 하는데 ㅜ.ㅜ​한달 걸렸는데 아직 이 만큼 밖에 못했어요.원래 시간 오래 걸리는 거 잘 못 참는 성격인데가죽공예는 잘 견디고 있네요. ㅎㅎ완성작 근사하게 올려볼 날을 기대해 봅니다~​​​#가죽공예 #가죽가방만들기 #가든파티만들기 #가죽공방탄 #핸드메이드 #생일선물 #강남가죽공방 #가죽공방 #직장인취미 #토고가죽,18,244,24,0,1902.2,33,,2021. 6. 14. 18:19
4,[ 가죽공예 / 오뜨 가죽공방... 실천 !! 텀블러 가방 만들기 _ 출강,ooitw (오뜨) 가죽공방,https://blog.naver.com/inkyung78?Redirect=Log&logNo=222422823643,"​​​ooitw (오뜨) 가죽공방  _ 원데이클래스​​​​'도꼬 가죽을 이용한 텀블러가방 만들기'​​돌보는 삶, 다시 쓰는 삶, 버리지 앉는 삶을 실천하고 싶은 분들과 함께 진행하게된 뜻깊은 워크샵에오뜨가죽공방이 같이 참여하게 되었습니다.​​​​협동조합 까페마을에서 진행하게된 워크샵​처음에는 리싸이클링이나 제로웨이스트를 주제로 수업이 가능할까요?로 시작​제로웨이스트 실천이 주제인만큼 공방한켠에 쌓여 있는 도꼬(스플리트)가죽을 이용하여 수업을 진행하기로 하였습니다.​​​​도꼬가죽은 가죽을 피할하고 나온 뒷면 가죽입니다.저희 공방에서는 부테로 가죽을 주로 사용하고 있는터라도꼬가죽이 많이 나오는편입니다.​어느정도는 공방에서 사용하지만계속 늘어나는 도꼬가죽을 보관하자니 공간을 너무 많이 차지해서주변분들에게 나눔을 하거나  두께가 애매한 아이는 폐기를 하고 있었습니다.​버리기엔 너무 아까운 도꼬가죽들이 많답니다.가죽 두께감이며 색감이 너무 예쁜아이들이 많아요​제로웨이스트로  딱이죠 :)​​​​도꼬가죽을 이용하여 텀블러 가방을 만들기로 결정 :)​새로운 작업이라 너무 즐겁더라구요 의욕이 활활 !! ㅋ만들면 만들수록 보완할점이 계속 보이더라구요도꼬가죽으로 만들지만 우선 예뻐야 한다고 생각하고튼튼하게 사용할때 편리함을 생각하게 되더라구요 :)​몇일 고민끝에 완성된 텀블러가방 ♡♡너무 너무 예쁘죠 ㅎㅎ​​​​​수업은 협동조합 까페마을에서 진행하였답니다.1차 2차에 걸쳐  진행하게되었답니다.다들 너무 즐겁게 작업하시더라구요 :)너무 너무 좋아들 하셔서 제가 더 뿌듯하더라구요 ♡​​​designed by ooitw​​​2차 체험수업 사진입니다.​​​​외부 출강이라서 미리준비해야할께 많아힘들긴했지만 새로운 작업은 언제나 즐거우니깐요 :)너무 재밌고 즐거운 시간이었답니다.다들 좋은 말씀을 많이해주시고 만족도가 높은것 같아 제가 더 힘을 얻어 갈수있어 좋았습니다.​가을쯤 도꼬가죽이 쌓이게 되면한번더 진행예정입니다.​수고하셨습니다.​​​​​오뜨 가죽공방, 염창역 가죽공방9호선 염창역(급행) 2번출구ooitw(오뜨) 가죽공방_ 수강생작품​가죽공예수업,정규수강,원데이클래스서울 강서구 공항대로81길 15  3층 301호TEL: 010-9443-7807 카톡ID:singcat2​​",23,187,2,0,165.4,13,,2021. 7. 7. 1:08
5,인천가죽공예 국비지원 가방만들기 5주완성 ! 개강 선착순 모집~,인천알찬교육정보안내,https://blog.naver.com/designmania?Redirect=Log&logNo=222283692308,"인천 가죽공예 - 고용노동부 인천유일 3년 훈련인증기관아트앤뷰티아카데미에서가죽공예 토요일 주말과정 5주완성- 가죽가방 제작과정 국비지원 훈련과정!​국민내일배움카드 만 있다면! (없다면 바로 발급하세요!)지금 HRD에서 온라인 수강신청 간단히 하시면 바로~ 접수됩니다!www.hrd.go.kr​스마트폰 HRD앱설치~! 회원가입후 검색창에 아트앤뷰티 로 검색하시면현재 모집중인 과정이 조회됩니다!스크롤을 내려 수강신청 버튼 클릭하세요!​국민내일배움카드는 공무원이나 학생을 제외하고고용보험과 무관! 누구나 발급가능하세요!주부, 직장인, 휴직자, 구직자 누구나!각자 조건에 맞는 카드유형으로~ 발급은 가까운 관할 고용센터로 문의!​근로자, 휴직자, 실업자 누구나!통합과정으로 카드발급후 누구나 간단히 온라인 신청하세요!(자부담은 카드조건별로 다르니 자부담 조회하기로 확인하세요!  전액지원부터 실재훈련비+자부담으로!​국비지원으로 가죽공예 배우기-훈련재료 제공-훈련도구 및 장비 훈련교육시설내 사용추가비용없음​카드별 자부담만 결재후 수강!HRD에서 온라인 수강신청구직자 재직자 구분없이 누구나 바로 접수후 신청자부담 최소 5만원에서 최대 12만원내외​국비지원으로 가죽공예 기본기술부터~가방제작 기술 전반을 훈련합니다!퀄리티있는 가죽가방에 필요한 모든 훈련재료 제공합니다!​허술한 가방이 아니라~ 완벽한 안감, 보강재, 지퍼나 금속 부자재까지 완벽하게 부착! 핸들이나 스트랩제작까지~ 구성이 완전한 가죽가방 제작을 통해세세한 각종 가죽공예 기술 습득하세요!​#가죽공예 완전 초보자도 가능합니다!​지금 바로 내일배움카드로 신청하세요!국비지원을 배우시는 최상의 가성비!훈련기관에서 제공하는 가죽중에 최대한 선택도 가능하십니다!​​가죽소재를 비치된 훈련기관내 가죽중에서 선택해서취향 존중해드립니다!​인천 구월동 #가죽공예국비지원 의 놀라운 알찬 기회 꼭 누려보세요!오전 10시부터 오후 5시30분~ 6시 30분 까지 1회 토요일만총 39시간 훈련합니다!가죽가방 패턴재단과 연마가죽기본도구 사용법과 활용가죽재단보강재활용과 안감재단지퍼나 부속물 부착 기술마감과 봉제전반!​가죽가방을 제작하시기 위한 각종 주요 가죽공예 습득을 자연스럽게!#인천가죽공예배우기 는 #국비지원 으로!#내일배움카드 로 배우는 주말 토요일 5주간 훈련가죽공예 국비지원으로 알차게!가성비 높은 퀄리티 갑! 가죽가방을 국비지원 훈련을 통해 제작해보세요!HRD에서 아트앤뷰티로  검색하세요!현재 모집중인 가죽공예 훈련 수강신청하세요!가죽공예 국비 훈련매주 토요일에 오셔서 시간가시는 줄 모르고가죽공예 기술들을 습득하시면서 가방제작에 매주 ~ 설레는 5주의 경험~3월에 종강한 훈련생분들은 수업모습입니다!​인천 구월동 아트앤뷰티에서가죽공예 국비지원으로 ~내일배움카드만으로 간단히 신청!​딱 5주 39시간 훈련입니다!​직장인, 실업자 통합과정!​​지금 바로 HRD에서 아트앤뷰티로 검색하세요!​​문의 032 471 7889010 7527 8552​카톡 art7889​www.artnbeauty.co.kr네이버에서 구월동 쿠우쿠우 로 검색하시면 그건물 바로 3층쉐보레 구월동 매장이 1층에~​​",23,254,0,0,339.4,9,text_ad,2021. 3. 22. 15:08
6,"[개인작업] 정성을 담은 선물, 가죽 가방 만들기",루시디안 가죽공방,https://blog.naver.com/yalbe11?Redirect=Log&logNo=222354759850,"안녕하세요, 루시디안 가죽공방입니다. ​​공방을 운영한지 어느덧 5년차. ​주문제작을 통해 여러 클라이언트의 가방은 만들고 있지만중이 제머리 못깎는다고, 정작 제 주위 분들에게는 생각처럼 많은 선물을 해드리고 있지 못한게 현실이에요. ​마음은 굴뚝같은데 말이죠​그치만 요번만큼은 꼭 ~ 선물을 해드리고 싶어서큰맘먹고 3일간 야작하며 만들었습니다. ​​​​​​Leather : Perlinger Shrunken Calf col. BlackThread : Gutermann MaraFinish : Fenice Edgecoat​​​​무거운 가방을 싫어하는 남자분들은 작은 가방을 선호하시는것 같아요.​일명 '일수가방'으로 불리우는 사이즈의 미니백을 만들어 보았어요 :)​​평소에 잘 가지고 다니시던 가방 사이즈를 떠올리며~직접 만드는 선물이니 자재는 모두 최고급으로~~ ​​​에토프 컬러의 페링거슈렁큰! 일명 토고가죽에 버건디컬러 귀터만 마라를 사용했습니다.​그러고 보니 둘다 독일 제품이네요!​특히 가죽은 만들면서도 계속 감탄했어요.크~~이 쫀쫀&탱탱함!! 왠만한 명품 브랜드에서도 이런 가죽은 잘 못쓴답니다 ~ ​​시중에서 흔히 보기 어려운 컬러라 누가봐도 유니크 하죠 :)(야작 후에 급하게 찍느라 사진 색감이 완전 호러블하네요.. 슬프다 ㅠㅠ)​​​시간의 압박으로 아쉽게도 손바느질은 하지 못하구100% 기계 재봉(미싱)으로 완성한 가방이에요.​​새들스티치의 그 칼각을 사랑합니다만..아쉬운대로 기계 재봉으로 사선스티치를 해보았습니다! ​​부디 오래 사랑받는 가방이 되길 바라며..​​​​​위에서 보신 미니백은 가죽공예 정규수업 심화과정에서 만들어보실수 있습니다.​-정규수업 커리큘럼 안내는 아래 링크를 클릭해주세요!​▼▼▼​​활동하기 좋은 계절, 답답했던 집에서 벗어나 프라이빗 1:1 맞춤 교육을 진행하는루시디안 가죽공방에서 가죽공예 한번 배워보시는거 어떨까요? ^^ ​한타임 최대 정원 5인 이하로 선생님 두명이 최대한 꼼꼼하게 지도해 드리고 있습니다.​​한번, 도전해보세요! ​​​​​자격증과정도 상시 등록 가능합니다 :) ▼▼▼​https://blog.naver.com/yalbe11/221830901255​​-​-​​​​​​네이버/다음 지도 검색 : '루시디안 가죽공방'카카오 네비 검색 : '루시디안 가죽공방​'구글 맵 검색 : '루시디안 가죽공방'​​​#가죽공예초보 #강서구가죽공방 #발산가죽공방 #워라벨 #취미생활 #고급취미 #프리미엄클래스 #소수정예클래스 #가죽공방 #가죽공예 #서울가죽공방 #마곡가죽공방#새해취미 #가죽가방만들기 #주부취미 #김포가죽공방 #등촌가죽공방 #가양가죽공방 #우장산가죽공방 #가죽가방만들기 #가죽공예취미 #빈티지가죽공예 #가죽공예 #가죽공방 #서울가죽공방 #서울가죽공예 #강서구가죽공방 #강서구가죽공예 #마곡가죽공방 #발산가죽공방 #우장산가죽공방 #가양동가죽공방 #방화동가죽공방 #염창동가죽공방 #목동가죽공방 #인천가죽공방 #김포가죽공방 #일산가죽공방 #등촌동가죽공방 #공항동가죽공방 #파주가죽공방 #가죽공예배우기 #가죽공예클래스 #가죽가방만들기 #화곡동가죽공방 #까치산가죽공방 #워크샵워크숍 #기업문화체험 #학부모연수 #교사연수 #원데이클래스 #가죽공예공방 #동작구가죽공방 #양천구가죽공방 #가죽공예자격증 #가죽공예지도사 #커플가죽공예 #가죽공예일일체험 #마포구가죽공방 #서대문구가죽공방 #여의도가죽공방 #양천향교가죽공방 #구로구가죽공방 #영등포구가죽공방 #마곡데이트 #부천가죽공방 #마곡나루가죽공방 #가죽공예자격증 #가죽공예지도사​내
 
",13,272,2,0,143.6,7,,2021. 5. 17. 18:38
7,여름클래스 핸드폰가방 만들기 onedayclass 해운대 가죽공방,제이아이앤 디자인 스튜디오 since 2013,https://blog.naver.com/redjudy?Redirect=Log&logNo=222433713562,​​​#별밤학교 #해운대별밤학교 ​​​지난주에 해운대 별밤학교 프로그램 중 핸드폰 가방만들기 원데이클래스 를 진행했습니다 코로나 로 인해 많은 인원수용이 힘들어이틀동안 진행했구요​다른 프로그램 도 현재 진행 중이니 해운대구청 사이트에서 신청 하시면 됩니다​​​​​​​​​두가지 컬러중 네이비를 많이 선택해 주셨네요​저는 그린컬러가 이쁜데옷 받쳐 입기에는 네이비가 좋긴 하네요​​너무 귀여운 포즈 👍👍👍​​​​별밤학교  는 저녁에 하는  원데이클래스 수업이라일 끝내고 오셔서쉬시지도 못하고이렇게 만들어 주셔서 감사드립니다 ​요즘은 코로나 때문에걱정했는데 다행히 수업이 진행되어 휴~했습니다방역수칙 철처히 지켜서 수업하니걱정 안하셔도 되구요 ​​​​똑같은 네이비 이지만만드는 사람에 따라 다르게 보이죠​​​​​​​​​​​​​​밤늦게까지 만드신다고 수고 많으셨습니다 한땀한땀 정성껏 만든 세상에 하나밖에 없는 나만의 가방 이네요​신청해주셔서 감사합니다 다음번에 또 뵙겠습니다 ​수강문의 및 기타문의 는 댓글이나 톡톡 카톡 문의 바랍니다 ​부산 해운대 가죽공방 제이아이앤디자인스튜디오 카톡 아이디 jinds215 ​​​​​​​​​​​#해운대가죽공방 #부산가죽공방 #부산가죽공예 #부산가죽공예학원 #커플체험 #커플가죽체험 #커플일일체험 #커플지갑 #커플지갑만들기 #해운대체험 #해운대친구끼리#해운대커플끼리할수있는것#제이아이앤디자인스튜디오 ##가죽지갑만들기#커플지갑만들기 #지갑주문제작#교직원연수 #교직원메이커연수#무한상상실 #가죽공예체험 #일일체험 #원데이클래스 #회사연수 #가죽출강,9,127,1,0,343.8,4,,2021. 7. 16. 14:42
8,핸드메이드 서울가죽공방 언블런 수제가방만들기 클래스,언블런 핸드메이드 잠실 가죽공방,https://blog.naver.com/ful0907?Redirect=Log&logNo=222411331068,"안녕하세요 일본에서 패션디자인과 가죽공예를 공부하고 지금은 잠실에서 가죽공예 교육을 하고 있는 서울 가죽공방 언블런 입니다 ​언블런 서울 가죽공방에서는 일본식 정통 가죽공예 기법을 교육 하고 있습니다 ​디자인부터패턴제작까지모든 과정을 교육 합니다 ​손 바느질수제가방정말 특별한 가방세상에 하나뿐인 가방을직접 만드는 가죽공예 클래스 최고급 이테리 소가죽으로 만든 수제 가방을 소개 합니다 ​​어머님께 선물 하신다는 가방​직접 손으로 만드셨습니다 ​너무 멋집니다 ​​가운데 큰 황동 버클이 매력적인 가방​오늘 착장과도 잘어울리네요​언블런 서울 가죽공방에서는 ​수강생분께서 열심히 만든 가방을매달 이쁜 스튜디오를 빌려 촬영을 도와드리고 있습니다 ​수제 가방핸드메이드 가방 만들기.클래스​핸드메이드 서울가죽공방 문의010-57610907 ​잠실동205-22 1층 신사동551-1 지하1층 ​#서울가죽공방 #핸드메이드가죽공방 #수제가방만들기#가방만들기클래스#가죽공방창업 #가죽공예#가죽공방 5
",13,89,0,0,596.0,7,,2021. 6. 26. 23:52
9,[집에서 가죽공예] 뒤집는 가죽 가방 만들기,솜소의 재미있는 금손생활,https://blog.naver.com/one1_piece?Redirect=Log&logNo=222418770302,안녕하세요.솜소입니다.이번엔 뒤집기 가능한 가방만들기입니다.밀링 한 다코타 가죽을 사용하였기 때문에주름이 많이 있는 가죽의 특성상 부드러워서 가능한 만들기 방식입니다.패턴은 핸드폰 사이즈에서 조금 더 크게 제작했습니다.지갑/폰/이어폰 정도만 들어갈 정도에요.​​​크리저를 새로 샀는데 훨씬 만족스럽습니다.크리저 팁에 단차가 있어서 좀 더 선을 긋기 편하더라구요.​​한번도 안써본 잠금장식을 달아봤어요. 다음에 또 살까봐요 ㅋㅋㅋ​​베이스코트와 엣지코트도 열심히 발라줬구요.​​​바느질도 가지런히 했죠.이번에 사선송곳도 마련했는데 왜 진작에 안샀을까 하는 후회감이 ... 있는줄몰랐었죠.짜짠~!이렇게 심플하게 제작 완료했습니다.가방 옆판은 긴 가죽을 잘라내기 어려우니 3조각으로 나눠서 만들었어요.​바느질 할 곳들을 피할했으면 뒤집었을 때 좀더 예쁘게 나왔을거 같네요.다음에 한번 도전 해보겠습니다.(손 피할 지옥....)​​스트랩은 기존에 쓰던 웨빙 스트랩을 달아서 쓰려고 생략 했어요 ㅋㅋ(스크랩 바느질 지옥....)​​자세한 제작 영상은 아래의 링크에서 확인 가능합니다!​사각 미니 크로스백 만들기 제작 영상https://youtu.be/D2o-U3dUMdw​,10,106,3,0,53.0,6,,2021. 7. 3. 13:36
